0.000,0,1 ms (variance: 0 ms),86109024.000,0.812,1.292,1756405700.725
0.000,0,1 ms (variance: 0 ms),40351144.000,0.390,2.150,1756405701.725
0.000,0,1 ms (variance: 0 ms),38399552.000,0.126,2.408,1756405702.742
0.000,0,1 ms (variance: 1 ms),45172260.000,0.207,1.713,1756405703.830
0.000,0,1 ms (variance: 0 ms),38361324.000,0.051,0.571,1756405704.844
0.000,0,1 ms (variance: 0 ms),28499378.000,0.024,0.016,1756405705.860
0.000,0,1 ms (variance: 0 ms),27761956.000,0.033,0.000,1756405706.872
0.000,0,1 ms (variance: 1 ms),26749972.000,0.008,0.008,1756405707.887
0.000,0,1 ms (variance: 0 ms),26037182.000,0.008,0.017,1756405708.888
0.000,0,1 ms (variance: 0 ms),25021438.000,0.033,0.017,1756405709.904
0.000,0,1 ms (variance: 1 ms),25263918.000,0.060,0.009,1756405710.907
0.000,0,1 ms (variance: 0 ms),25879152.000,0.054,0.036,1756405711.920
0.000,0,1 ms (variance: 1 ms),26302222.000,0.065,0.056,1756405712.936
0.000,0,1 ms (variance: 1 ms),26011402.000,0.066,0.028,1756405713.938
0.000,0,1 ms (variance: 1 ms),23523124.000,0.864,0.727,1756405714.947
0.000,0,1 ms (variance: 0 ms),21135180.000,0.877,0.763,1756405715.959
0.000,0,1 ms (variance: 0 ms),24250182.000,0.068,0.165,1756405716.969
0.000,0,1 ms (variance: 0 ms),25739164.000,0.000,0.247,1756405718.000
0.000,0,1 ms (variance: 0 ms),30498354.000,0.000,0.186,1756405719.032
0.000,0,1 ms (variance: 0 ms),35095476.000,0.000,0.078,1756405720.038
0.000,0,1 ms (variance: 0 ms),19987146.000,0.010,0.049,1756405721.039
0.000,0,1 ms (variance: 0 ms),12881759.000,0.008,0.000,1756405722.056
0.000,0,1 ms (variance: 0 ms),12178413.000,0.008,0.008,1756405723.061
0.000,0,1 ms (variance: 0 ms),11459230.000,0.025,0.008,1756405724.074
0.000,0,1 ms (variance: 1 ms),11728924.000,0.026,0.009,1756405725.093
0.000,0,1 ms (variance: 1 ms),15487041.000,0.010,0.010,1756405726.124
0.000,0,1 ms (variance: 0 ms),20615248.000,0.045,0.000,1756405727.156
0.000,0,1 ms (variance: 1 ms),27127680.000,0.091,0.013,1756405728.187
0.000,0,1 ms (variance: 0 ms),31617862.000,0.086,0.014,1756405729.201
0.000,0,1 ms (variance: 0 ms),14792714.000,0.064,0.011,1756405730.216
0.000,0,1 ms (variance: 0 ms),4615058.000,0.059,0.008,1756405731.228
0.000,0,1 ms (variance: 0 ms),3302645.750,0.042,0.008,1756405732.229
0.000,0,2 ms (variance: 0 ms),1702959.625,0.008,0.008,1756405733.246
0.000,0,2 ms (variance: 0 ms),1705020.625,0.115,0.284,1756405733.883
0.000,0,1 ms (variance: 0 ms),29285100.000,0.125,0.018,1756405746.346
0.000,0,1 ms (variance: 0 ms),25495832.000,0.068,0.154,1756405747.361
0.000,0,1 ms (variance: 0 ms),21509458.000,0.016,0.148,1756405748.377
0.000,0,1 ms (variance: 1 ms),20493550.000,0.025,0.016,1756405749.394
0.000,0,1 ms (variance: 1 ms),20067652.000,0.025,0.017,1756405750.394
0.000,0,1 ms (variance: 0 ms),19052304.000,0.017,0.017,1756405751.410
0.000,0,1 ms (variance: 0 ms),17463534.000,0.016,0.016,1756405752.427
0.000,0,1 ms (variance: 0 ms),16447662.000,0.016,0.016,1756405753.444
0.000,0,1 ms (variance: 0 ms),16609404.000,0.025,0.042,1756405754.456
0.000,0,1 ms (variance: 1 ms),16188823.000,0.025,0.059,1756405755.456
0.000,0,1 ms (variance: 0 ms),13995175.000,0.041,0.041,1756405756.472
0.000,0,1 ms (variance: 0 ms),20870266.000,0.064,0.018,1756405757.498
0.000,0,1 ms (variance: 0 ms),25987828.000,0.079,0.000,1756405758.513
0.000,0,4 ms (variance: 7 ms),15254668.000,0.561,0.421,1756405759.530
0.000,0,1 ms (variance: 1 ms),9351004.000,0.492,0.508,1756405760.546
0.000,0,1 ms (variance: 0 ms),8336023.500,0.049,0.230,1756405761.563
0.000,0,1 ms (variance: 1 ms),7910642.000,0.050,0.124,1756405762.564
0.000,0,1 ms (variance: 0 ms),6895038.000,0.017,0.124,1756405763.581
0.000,0,1 ms (variance: 0 ms),5305676.500,0.008,0.221,1756405764.596
0.000,0,1 ms (variance: 0 ms),4879997.500,0.008,0.116,1756405765.597
0.000,0,1 ms (variance: 0 ms),3864403.750,0.017,0.025,1756405766.613
0.000,0,1 ms (variance: 0 ms),2275075.750,0.016,0.057,1756405767.630
0.000,0,1 ms (variance: 0 ms),1849610.750,0.017,0.041,1756405768.630
0.000,0,1 ms (variance: 0 ms),834082.062,0.008,0.000,1756405769.646
0.000,0,1 ms (variance: 0 ms),34449536.000,0.000,0.016,1756405770.664
0.000,0,1 ms (variance: 0 ms),33433884.000,0.000,0.016,1756405771.680
0.000,0,1 ms (variance: 1 ms),32418274.000,0.016,0.000,1756405772.697
0.000,0,1 ms (variance: 0 ms),32283732.000,0.041,0.000,1756405773.697
0.000,0,1 ms (variance: 1 ms),32163786.000,0.025,0.008,1756405774.698
0.000,0,1 ms (variance: 0 ms),30269122.000,0.025,0.025,1756405775.713
0.000,0,1 ms (variance: 0 ms),29270234.000,0.025,0.033,1756405776.714
0.000,0,1 ms (variance: 1 ms),28254578.000,0.000,0.033,1756405777.730
0.000,0,1 ms (variance: 0 ms),26374320.000,0.025,0.016,1756405778.746
0.000,0,1 ms (variance: 0 ms),25358678.000,0.033,0.000,1756405779.764
0.000,0,1 ms (variance: 0 ms),24342990.000,0.008,0.008,1756405780.780
0.000,0,1 ms (variance: 1 ms),23327428.000,0.025,0.033,1756405781.797
0.000,0,1 ms (variance: 0 ms),23192896.000,0.033,0.050,1756405782.798
0.000,0,1 ms (variance: 0 ms),22177268.000,0.017,0.041,1756405783.813
0.000,0,1 ms (variance: 0 ms),20297178.000,0.008,0.016,1756405784.831
0.000,0,1 ms (variance: 0 ms),19281448.000,0.016,0.008,1756405785.846
0.000,0,1 ms (variance: 0 ms),19147008.000,0.017,0.025,1756405786.846
0.000,0,1 ms (variance: 0 ms),18131352.000,0.008,0.017,1756405787.864
0.000,0,1 ms (variance: 0 ms),16251213.000,0.016,0.000,1756405788.880
0.000,0,1 ms (variance: 0 ms),15235522.000,0.025,0.008,1756405789.897
0.000,0,1 ms (variance: 0 ms),14219847.000,0.016,0.008,1756405790.913
0.000,0,1 ms (variance: 0 ms),14085410.000,0.000,0.000,1756405791.913
0.000,0,1 ms (variance: 0 ms),13069775.000,0.008,0.000,1756405792.930
0.000,0,1 ms (variance: 0 ms),12070863.000,0.017,0.008,1756405793.930
0.000,0,1 ms (variance: 0 ms),11950825.000,0.008,0.008,1756405794.931
0.000,0,1 ms (variance: 0 ms),10056040.000,0.008,0.017,1756405795.946
0.000,0,1 ms (variance: 0 ms),8176002.000,0.016,0.025,1756405796.964
0.000,0,1 ms (variance: 1 ms),7160340.000,0.008,0.025,1756405797.980
0.000,0,1 ms (variance: 0 ms),6144691.500,0.016,0.033,1756405798.997
0.000,0,1 ms (variance: 1 ms),6010162.000,0.017,0.025,1756405799.997
0.000,0,1 ms (variance: 0 ms),4994393.500,0.008,0.017,1756405801.013
0.000,0,1 ms (variance: 1 ms),3114364.000,0.025,0.008,1756405802.030
0.000,0,1 ms (variance: 0 ms),2979936.750,0.041,0.000,1756405803.030
0.000,0,1 ms (variance: 0 ms),1964264.625,0.041,0.000,1756405804.046
0.000,0,1 ms (variance: 0 ms),965275.750,0.041,0.000,1756405805.047
0.000,0,1 ms (variance: 0 ms),35445252.000,0.025,0.008,1756405806.064
0.000,0,1 ms (variance: 0 ms),33274144.000,0.000,0.008,1756405807.080
0.000,0,1 ms (variance: 0 ms),32258446.000,0.008,0.000,1756405808.097
0.000,0,1 ms (variance: 0 ms),31242794.000,0.016,0.008,1756405809.113
0.000,0,1 ms (variance: 0 ms),30227184.000,0.008,0.008,1756405810.131
0.000,0,1 ms (variance: 0 ms),29211578.000,0.016,0.008,1756405811.147
0.000,0,1 ms (variance: 0 ms),28195774.000,0.016,0.016,1756405812.164
0.000,0,1 ms (variance: 0 ms),27180068.000,0.000,0.008,1756405813.180
0.000,0,1 ms (variance: 0 ms),26164490.000,0.016,0.008,1756405814.198
0.000,0,1 ms (variance: 0 ms),25148814.000,0.033,0.016,1756405815.213
0.000,0,1 ms (variance: 0 ms),24133210.000,0.041,0.025,1756405816.230
0.000,0,1 ms (variance: 1 ms),24289736.000,0.041,0.041,1756405817.231
0.000,0,1 ms (variance: 0 ms),23274066.000,0.017,0.041,1756405818.246
0.000,0,1 ms (variance: 0 ms),22275058.000,0.000,0.033,1756405819.246
0.000,0,1 ms (variance: 0 ms),21259444.000,0.017,0.033,1756405820.264
0.000,0,1 ms (variance: 1 ms),19088382.000,0.016,0.025,1756405821.280
0.000,0,1 ms (variance: 0 ms),18072782.000,0.000,0.025,1756405822.297
0.000,0,1 ms (variance: 0 ms),17057176.000,0.000,0.066,1756405823.313
0.000,0,1 ms (variance: 0 ms),16041586.000,0.008,0.107,1756405824.330
0.000,0,1 ms (variance: 0 ms),15026052.000,0.033,0.066,1756405825.346
0.000,0,1 ms (variance: 0 ms),15182862.000,0.058,0.025,1756405826.346
0.000,0,1 ms (variance: 0 ms),27019760.000,0.045,0.730,1756405827.358
0.000,0,1 ms (variance: 0 ms),31720732.000,0.047,1.234,1756405828.359
0.000,0,1 ms (variance: 0 ms),16978730.000,0.034,0.846,1756405829.376
0.000,0,1 ms (variance: 0 ms),9985265.000,0.008,0.762,1756405830.392
0.000,0,1 ms (variance: 0 ms),8969822.000,0.008,1.066,1756405831.409
0.000,0,1 ms (variance: 0 ms),7954191.000,0.016,1.008,1756405832.425
0.000,0,1 ms (variance: 0 ms),8110630.500,0.025,0.736,1756405833.425
0.000,0,1 ms (variance: 1 ms),8286554.000,0.008,0.808,1756405834.426
0.000,0,1 ms (variance: 0 ms),6096035.000,0.008,0.843,1756405835.442
0.000,0,1 ms (variance: 1 ms),5097109.000,0.025,0.835,1756405836.442
0.000,0,1 ms (variance: 1 ms),4081460.750,0.017,0.777,1756405837.459
0.000,0,1 ms (variance: 0 ms),1910354.500,0.016,0.803,1756405838.476
0.000,0,1 ms (variance: 0 ms),894665.000,0.025,0.893,1756405839.492
0.000,0,1 ms (variance: 0 ms),35083628.000,0.033,0.885,1756405840.509
0.000,0,1 ms (variance: 1 ms),35459.117,0.041,0.942,1756405841.509
0.000,0,1 ms (variance: 1 ms),34515240.000,0.017,0.926,1756405842.526
0.000,0,1 ms (variance: 1 ms),32053158.000,0.016,0.689,1756405843.542
0.000,0,1 ms (variance: 0 ms),31037560.000,0.041,0.746,1756405844.559
0.000,0,1 ms (variance: 0 ms),30021858.000,0.025,0.885,1756405845.575
0.000,0,1 ms (variance: 1 ms),30469370.000,0.000,0.860,1756405846.576
0.000,0,1 ms (variance: 0 ms),30941094.000,0.000,1.133,1756405847.575
0.000,0,1 ms (variance: 1 ms),28454900.000,0.000,1.380,1756405848.592
0.000,0,1 ms (variance: 0 ms),27455814.000,0.041,1.174,1756405849.592
0.000,0,1 ms (variance: 0 ms),26440070.000,0.050,0.942,1756405850.609
0.000,0,1 ms (variance: 0 ms),23978174.000,0.016,0.959,1756405851.625
0.000,0,1 ms (variance: 0 ms),24425620.000,0.008,0.983,1756405852.626
0.000,0,1 ms (variance: 0 ms),23409814.000,0.008,0.901,1756405853.643
0.000,0,1 ms (variance: 0 ms),20947470.000,0.008,0.918,1756405854.659
0.000,0,2 ms (variance: 1 ms),19931770.000,0.008,1.000,1756405855.676
0.000,0,1 ms (variance: 1 ms),18916304.000,0.025,0.910,1756405856.692
0.000,0,1 ms (variance: 0 ms),17900760.000,0.016,1.025,1756405857.709
0.000,0,1 ms (variance: 1 ms),16885098.000,0.008,1.139,1756405858.725
0.000,0,1 ms (variance: 0 ms),15869353.000,0.008,1.090,1756405859.743
