2.400,3.200,2.576,1756405700.725
2.400,16.500,2.766,1756405701.725
2.400,16.500,3.042,1756405702.742
2.400,5.100,3.035,1756405703.830
2.500,21.000,3.067,1756405704.844
2.500,21.000,2.922,1756405705.860
2.600,4.900,2.741,1756405706.872
2.400,4.900,2.730,1756405707.887
2.400,3.500,2.656,1756405708.888
2.400,3.700,2.710,1756405709.904
2.400,5.100,2.883,1756405710.907
2.500,6.300,3.371,1756405711.920
2.400,6.300,3.898,1756405712.936
2.400,6.400,3.861,1756405713.938
2.400,6.400,3.705,1756405714.947
2.300,6.000,3.404,1756405715.959
2.300,5.900,3.006,1756405716.969
2.400,6.300,2.897,1756405718.000
2.400,6.300,3.111,1756405719.032
2.600,6.600,3.474,1756405720.038
2.400,6.600,2.786,1756405721.039
2.400,3.800,2.628,1756405722.056
2.400,6.400,2.692,1756405723.061
2.400,6.400,2.686,1756405724.074
2.400,5.500,2.798,1756405725.093
2.400,5.500,2.894,1756405726.124
2.500,5.400,3.047,1756405727.156
2.600,5.400,4.060,1756405728.187
2.500,5.100,3.220,1756405729.201
2.400,4.900,2.674,1756405730.216
2.400,4.900,2.614,1756405731.228
2.400,4.800,2.576,1756405732.229
2.400,3.400,2.641,1756405733.246
2.300,21.000,2.873,1756405733.883
2.400,4.800,2.853,1756405746.346
2.400,5.000,3.114,1756405747.361
2.500,5.000,3.295,1756405748.377
2.500,4.300,3.387,1756405749.394
2.500,4.500,3.416,1756405750.394
2.500,4.500,3.210,1756405751.410
2.400,3.900,2.911,1756405752.427
2.400,3.700,2.742,1756405753.444
2.500,4.000,2.919,1756405754.456
2.400,4.000,3.045,1756405755.456
2.400,3.800,2.850,1756405756.472
2.400,5.500,2.821,1756405757.498
2.400,5.500,2.946,1756405758.513
2.300,5.200,2.622,1756405759.530
2.300,2.900,2.498,1756405760.546
2.400,3.000,2.510,1756405761.563
2.300,3.000,2.512,1756405762.564
2.300,2.900,2.513,1756405763.581
2.400,3.000,2.573,1756405764.596
2.400,3.000,2.626,1756405765.597
2.400,3.000,2.582,1756405766.613
2.400,2.900,2.556,1756405767.630
2.400,2.800,2.561,1756405768.630
2.400,2.800,2.571,1756405769.646
2.400,2.900,2.566,1756405770.664
2.400,2.900,2.552,1756405771.680
2.400,2.800,2.552,1756405772.697
2.400,3.200,2.575,1756405773.697
2.400,3.200,2.596,1756405774.698
2.400,3.000,2.577,1756405775.713
2.400,2.800,2.554,1756405776.714
2.400,2.800,2.546,1756405777.730
2.400,2.800,2.554,1756405778.746
2.400,6.700,2.595,1756405779.764
2.400,6.700,2.594,1756405780.780
2.400,2.800,2.561,1756405781.797
2.400,2.800,2.559,1756405782.798
2.400,3.000,2.569,1756405783.813
2.400,3.000,2.570,1756405784.831
2.400,2.800,2.553,1756405785.846
2.400,2.800,2.550,1756405786.846
2.400,2.900,2.562,1756405787.864
2.400,2.900,2.569,1756405788.880
2.400,2.800,2.573,1756405789.897
2.400,2.800,2.565,1756405790.913
2.400,2.800,2.555,1756405791.913
2.400,2.800,2.562,1756405792.930
2.400,2.800,2.569,1756405793.930
2.400,2.800,2.572,1756405794.931
2.400,2.800,2.560,1756405795.946
2.400,2.800,2.559,1756405796.964
2.400,2.900,2.580,1756405797.980
2.400,2.900,2.579,1756405798.997
2.400,2.800,2.569,1756405799.997
2.400,3.100,2.581,1756405801.013
2.400,3.100,2.583,1756405802.030
2.400,2.800,2.573,1756405803.030
2.400,2.900,2.576,1756405804.046
2.400,2.900,2.588,1756405805.047
2.400,2.900,2.593,1756405806.064
2.400,2.900,2.588,1756405807.080
2.400,2.900,2.585,1756405808.097
2.400,3.000,2.584,1756405809.113
2.400,3.000,2.569,1756405810.131
2.400,3.000,2.565,1756405811.147
2.400,3.000,2.575,1756405812.164
2.400,3.000,2.579,1756405813.180
2.400,2.900,2.575,1756405814.198
2.400,2.900,2.569,1756405815.213
2.400,2.900,2.575,1756405816.230
2.400,2.900,2.566,1756405817.231
2.400,2.900,2.569,1756405818.246
2.400,2.900,2.579,1756405819.246
2.400,2.900,2.565,1756405820.264
2.400,2.900,2.584,1756405821.280
2.400,2.800,2.593,1756405822.297
2.400,2.800,2.576,1756405823.313
2.400,3.100,2.575,1756405824.330
2.400,3.100,2.569,1756405825.346
2.400,3.000,2.550,1756405826.346
2.300,3.000,2.502,1756405827.358
