1756405699.310893,1,0,0,44,0,1,0,0
1756405699.310987,1,1,0,44,0,2,0,0
1756405699.311001,1,2,0,44,0,3,0,0
1756405699.311014,1,3,0,44,0,4,0,0
1756405699.311023,1,4,0,44,0,5,0,0
1756405699.311034,1,5,0,44,0,6,0,0
1756405699.311043,1,6,0,44,0,7,0,0
1756405699.311051,1,7,0,44,0,8,0,0
1756405699.311061,1,8,0,44,0,9,0,0
1756405699.311070,1,9,0,44,0,10,0,0
1756405699.311079,1,10,0,44,0,11,0,0
1756405699.311091,1,11,0,44,0,12,0,0
1756405699.311100,1,12,0,44,0,13,0,0
1756405699.311109,1,13,0,44,0,14,0,0
1756405699.311121,1,14,0,44,0,15,0,0
1756405699.311130,1,15,0,44,0,16,0,0
1756405699.311142,1,16,0,44,0,17,0,0
1756405699.311171,1,17,0,44,0,18,0,0
1756405699.311183,1,18,0,44,0,19,0,0
1756405699.311224,1,19,0,44,0,20,0,0
1756405699.311236,1,20,0,44,0,21,0,0
1756405699.311280,1,21,0,44,0,22,0,0
1756405699.311294,1,22,0,44,0,23,0,0
1756405699.311341,1,23,0,44,0,24,0,0
1756405699.311355,1,24,0,44,0,25,0,0
1756405699.311367,1,25,0,44,0,26,0,0
1756405699.311391,1,26,0,44,0,27,0,0
1756405699.311402,1,27,0,44,0,28,0,0
1756405699.311414,1,28,0,44,0,29,0,0
1756405699.311445,1,29,0,44,0,30,0,0
1756405699.311458,1,30,0,44,0,31,0,0
1756405699.311503,1,31,0,44,0,32,0,0
1756405699.311513,1,32,0,44,0,33,0,0
1756405699.311558,1,33,0,44,0,34,0,0
1756405699.311569,1,34,0,44,0,35,0,0
1756405699.311615,1,35,0,44,0,36,0,0
1756405699.311629,1,36,0,44,0,37,0,0
1756405699.311639,1,37,0,44,0,38,0,0
1756405699.311673,1,38,0,44,0,39,0,0
1756405699.311686,1,39,0,44,0,40,0,0
1756405699.311696,1,40,0,44,0,41,0,0
1756405699.311736,1,41,0,44,0,42,0,0
1756405699.311748,1,42,0,44,0,43,0,0
1756405699.311758,1,43,0,44,0,44,0,0
1756405699.313233,2,53,0,41,0,1,0,0
1756405699.313281,2,54,0,41,0,2,0,0
1756405699.313289,2,55,0,41,0,3,0,0
1756405699.313345,2,56,0,41,0,4,0,0
1756405699.313352,2,57,0,41,0,5,0,0
1756405699.313357,2,58,0,41,0,6,0,0
1756405699.313391,2,59,0,41,0,7,0,0
